Key,Value
mdp.39015028061110,1909
mdp.39015009128698,1909
pst.000001808827,1909
mdp.39015006976008,1922
uc1.b3798780,1922
uc1.b4253266,1922
mdp.39015039267706,1922
mdp.39015014771268,1922
uc1.$b624626,1922
mdp.39015012070242,1921
mdp.39015085487778,1918
njp.32101017212554,1918
mdp.39015024009683,1898
mdp.39015058498059,1908
mdp.39015037399147,1918
mdp.39015008984778,1914
mdp.39015045809475,1873
mdp.39015045809616,1904
mdp.39015045809764,1901
mdp.39015045809459,1902
mdp.39015045809608,1903
mdp.39015045809756,1904
mdp.39015045809442,1904
mdp.39015045809590,1905
mdp.39015052482786,1907
mdp.39015045809749,1910
mdp.39015045809434,1909
inu.30000001442072,1884
inu.30000001442205,1884
inu.30000001442197,1886
uva.x004513190,1923
uva.x004513181,1922
uc1.32106020660301,1923
mdp.39015008200480,1922
mdp.39015058368724,1923
mdp.39015008200498,1924
mdp.39015058368716,1925
mdp.39015008861802,1916
njp.32101073499640,1917
inu.30000125574396,1917
uc1.$b584465,1925
mdp.39015030529690,1925
mdp.39015080081691,1924
mdp.39015080081378,1925
mdp.39015080081519,1926
mdp.39015039624955,1768
inu.30000108522842,1921
inu.30000108522834,1919
inu.32000007383526,1922
inu.30000108522859,1923
inu.32000007470083,1918
inu.30000108522826,1918
inu.32000006712675,1918
inu.30000108522818,1917
inu.30000108520937,1907
inu.30000108520945,1907
inu.30000108520952,1907
inu.30000108520960,1907
inu.30000108520978,1907
inu.30000108522867,1924
inu.30000108522875,1924
inu.30000108522883,1924
inu.30000108522891,1925
inu.30000108522909,1925
inu.30000108522917,1925
inu.30000108522925,1926
inu.30000108520895,1906
inu.30000108520903,1906
inu.30000108520911,1906
inu.30000108520929,1906
inu.30000108522800,1906
inu.30000108520994,1906
ien.35556009930173,1909
ien.35556009930165,1909
ien.35556009930157,1908
ien.35556009930116,1908
ien.35556009930108,1908
ien.35556009930124,1908
ien.35556009930132,1908
ien.35556009930140,1908
ien.35556009930215,1926
ien.35556009930223,1926
ien.35556009930231,1926
ien.35556009930041,1926
mdp.39015019756918,1906
mdp.39015008901228,1906
mdp.39015019150344,1906
mdp.39015046434943,1906
mdp.39015020457241,1906
mdp.39015020457258,1906
mdp.39015020457365,1907
mdp.39015020457373,1907
mdp.39015020457381,1907
mdp.39015019203580,1907
mdp.39015020457399,1907
mdp.39015048610789,1907
coo.31924007170628,1906
coo.31924112462662,1906
coo.31924112462605,1907
coo.31924112462613,1907
coo.31924112462621,1907
coo.31924112462639,1907
coo.31924112462647,1906
coo.31924112462670,1906
coo.31924112462696,1907
mdp.39015070332567,1926
mdp.39015074964696,1926
uc1.b3353989,1896
uc1.b3353990,1896
uc1.b3353991,1896
uc1.b3353992,1896
uc1.b3353993,1896
uc1.b3353994,1896
uc1.b3353995,1896
uc1.b3353996,1896
uc1.b3353997,1896
uc1.b3353998,1896
uc1.b3353999,1896
uc1.b3354000,1896
uc1.b3354001,1897
uc1.b3354002,1897
uc1.b3354003,1897
uc1.b3354004,1897
uc1.b3354005,1897
uc1.b3354006,1897
uc1.b3354007,1897
uc1.b3354008,1897
uc1.b3354009,1897
uc1.b3354010,1897
uc1.b3354011,1897
uc1.b3354012,1897
uc1.b3354013,1898
uc1.b3354014,1898
uc1.b3354015,1898
uc1.b3354016,1898
uc1.b3354017,1898
uc1.b3354018,1898
uc1.b3354019,1898
uc1.b3354020,1898
uc1.b3354021,1898
uc1.b3354022,1898
uc1.b3354023,1898
uc1.b3354024,1898
uc1.b3354025,1901
uc1.b3354026,1901
